UserName,D0_total_time,D0_num_games,D0_num_sessions,D0_num_genres,D0_most_played_genre,D0_most_played_game,D0_first_activity_hour,D0_last_activity_hour,D1,D2,D3,D6
ADYASHA,71.7,15,6,1,15,2,16,16,0,1,1,0
AF123,29.35,4,2,3,3,3,16,16,1,1,1,0
AFROZE987,31.91666667,7,0,6,7,5,20,20,0,0,1,1
AIM,28.55,5,0,5,2,4,17,17,0,0,1,1
AKK,36.71666667,8,2,1,8,3,15,15,0,1,1,0
ALAF,41.71666667,10,7,4,10,11,0,0,1,0,0,0
ANOKHI,31.23333333,8,3,0,0,1,23,23,0,1,1,0
ANSHKING54321,34.15,2,2,3,2,0,20,20,0,1,1,0
ANUSHA,56.11666667,15,10,3,15,18,14,14,1,1,0,0
AQDAS,31.96666667,6,0,1,5,0,22,22,0,1,1,0
AREZA,27.78333333,8,3,4,3,8,20,20,0,1,1,0
ARHAM12PRO,34.35,7,5,4,2,11,15,15,1,1,1,0
ARNAV4400,32.61666667,8,0,7,2,8,20,20,0,0,1,1
ARSHAND3048,35.65,2,0,6,1,2,9,9,1,0,0,1
ARYAN,54.36666667,0,3,7,0,0,15,15,1,0,1,1
ASEES,320.4666667,15,10,9,2,28,22,22,0,0,0,0
ASHURUDR16E7W9,89.48333333,12,10,5,12,5,21,21,1,1,1,1
ATTARWALA,27.4,5,4,3,3,9,4,4,1,1,0,0
AVANISHandaashi,521.2333333,15,10,9,15,15,14,14,1,0,0,0
AVISHNAGPALPROMAX,36.91666667,9,3,9,2,11,11,11,1,0,0,1
AVP123999,335.4166667,15,10,9,15,29,8,8,1,0,0,0
AYAU,66.51666667,14,5,9,0,3,22,22,0,0,1,1
AYDEN,37.91666667,4,6,4,4,9,19,19,1,1,1,0
AYEZA,39.96666667,0,2,8,0,0,15,15,1,0,1,1
AZDASHKHitashvi,27.3,7,3,3,7,7,10,10,1,1,0,0
AaAaAa,38.06666667,6,5,6,2,2,15,15,1,0,1,1
Aaaater,26.9,4,1,4,2,9,14,14,1,1,1,0
Aaadvik,44.91666667,14,6,4,4,11,18,18,0,1,1,1
Aaak,50.75,3,9,9,1,9,23,23,1,0,1,1
Aabha,52.43333333,5,10,9,0,13,10,10,1,0,0,1
Aachuu,37.86666667,1,6,9,1,30,7,7,1,0,0,1
Aadeepro,31.61666667,6,5,0,0,3,12,12,1,1,1,0
Aadhvik,42.68333333,9,3,5,9,2,9,9,1,0,0,1
